レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
御病気なさったそうですね。回復されたのでしょうか？,病気なさったそうですね。もうすっかりよろしいんですか？,病気なさったそうですね。もう大丈夫ですか？,体調崩してたんだってね。もう平気？,挨拶,久しぶり
本日は温かい気候ですね。,今日はポカポカとして、 いい按配ですね。,今日は温かくて過ごしやすいですね。,今日は温かくて過ごしやすいね。,挨拶,近所で
行ってらっしゃいませ。お気を付けて。,行ってらっしやい、お気をつけて。,行ってらっしゃい。お気を付けて。,行ってらっしゃい。気を付けてね。,挨拶,近所で
皆様、御揃いでお出かけになられるのですか？,皆さん、お揃いでお出かけですか？,皆さん、お揃いでお出かけですか？,みんな揃って出かけるの？,挨拶,近所で
本日はお早いのですね、お散歩ですか？,今日はお早いですね、お散歩ですか？,今日は早いですね、お散歩ですか？,今日は早いね、散歩に行くの？,挨拶,近所で
お早うございます。本日も良いお天気ですね。,お早うございます。今日もいいお天気ですね。,おはようございます。今日も良い天気ですね。,おはよう、今日もいい天気だね。,挨拶,近所で
お早うございます。早朝から御精が出ますね。,お早うございます。朝早くから、ご精が出ますね。,お早うございます。朝早くから精が出ますね。,おはよう、朝早くから頑張ってるね。,挨拶,近所で
こんにちは、お暑うございます。本日は蒸しますね。,こんにちは、お暑うございます。今日は蒸しますね。,こんにちは、暑いですね。今日は蒸してますね。,こんにちは、暑いね。今日は蒸してるね。,挨拶,近所で
こんばんは、お寒うございます。随分ひえますね。,こんばんは、お寒うございます。ずいぶん冷えますね。,こんばんは、寒いですね。随分冷えますね。,こんばんは、寒いね。結構冷えるね。,挨拶,近所で
生憎の御天気ですね。はっきりとしない生憎の御天気ですね。,生憎のお天気ですね。 はっきりしない生憎のお天気ですね。,生憎の天気ですね。はっきりしない生憎の天気ですね。,天気よくないね。はっきりしない天気だね。,挨拶,近所で
こんにちは、お暑うございます。本日は蒸しますね。,こんにちは、お暑うございます。今日は蒸しますね。,こんにちは、暑いですね。今日は蒸しますね。,こんにちは、暑いね。今日は蒸すね。,挨拶,近所で
お寒うございます。本日はやけに冷えますね。,お寒うございます。今日はやけに冷えますね。,寒いですね。今日はやけに冷えますね。,寒いね、今日はやけに冷えるね。,挨拶,近所で
お久しぶりに、良いお湿りでございますね。,久しぶりに、 いいお湿りですね,お久しぶりに、良い湿りですね。,久しぶりに、湿ってるね。,挨拶,近所で
良いお天気ですね。ようやくお布団が干せますね。,いいお天気ですね。やっとおふとんが干せますね。,良いお天気ですね。やっと布団が干せますね。,良い天気だね。やっと布団が干せる。,挨拶,近所で
随分、日が長くなりましたね。,ずいぶん、日が長くなりましたね。,随分、日が長くなりましたね。,結構、日が長くなったね。,挨拶,近所で
日が短くなりましたね、まだ五時前なのに、薄暗いですね。,日が短くなりましたね、まだ五時前なのに、うす暗くて。,日が短くなりましたね、まだ五時前なのに、薄暗いですね。,日が短くなったね、まだ五時前なのに、薄暗いね。,挨拶,近所で
それは良いお考えでございますね。,それはいいお考えですね。,それは良いお考えですね。,ナイスアイディアだね。,あいづち,同意
全くもって、御説の通りでございます。,全く、お説の通りだと思います。,全く、御説の通りだと思います。,その通りだと思うよ。,あいづち,同意
さようでございます。仰る通りです。,そうですとも、おつしやる通りです。,そうですね、その通りです。,そうだね、その通り。,あいづち,同意
課長の御想像通りでございました。,課長のご想像通りでした。,課長のご想像通りでした。,課長の思った通り。,あいづち,同意
それは正しい御判断だと存じます。,それは正しいご判断だと思います。,それは正しい判断だと思います。,それは正しい判断だよ。,あいづち,同意
御説仰る通りでございます。,お説ごもっとも。,御説ごもっとも。,その通り。,あいづち,同意
恐れ入ります、全く仰る通りでございます。,恐れ入ります、全くその通りでございます。,すみません、全くその通りです。,そうそうその通り。,あいづち,同意
仰る通りです、私も同様に存じます。,同感です、私もそう思います。,同感です、私もそう思います。,そうだね、そう思う。,あいづち,同意
参考になります、その様なお考えもございますね。,なるほど、そういう見方もございますね。,なるほど、その様な見方もありますね。,なるほど、そんな見方もあるね。,あいづち,同意
そちらで結構でございます。,それで結構でございます。,それで良いと思います。,それでいーね。,あいづち,同意
御異議がないようでしたら、採決を取らせて頂きたいと存じます。,ご異議がないようでしたら、採決に入りたいと思います。,異議がないようでしたら、採決に入りたいと思います。,異議がなかったら、採決とるね。,あいづち,同意
何卒、三分の二の御賛成を頂きたいと存じます。,何とぞ、三分の二のご賛成をいただきたいのです。,何卒、三分の二の御賛成を頂きたいです。,三分の二の賛成が欲しい。,あいづち,同意
その御考えに賛同いたします。,そのお考えに賛成いたします。,その御考えに賛成します。,賛成だよ。,あいづち,同意
御賛同を頂きました、誠にありがとうございます。,ご賛同をいただきまして、ありがとございます。,御賛同を頂きました、ありがとうございます。,賛成してくれてありがとう。,あいづち,同意
御同意頂きまして、誠にありがとうございます。,ご同意いただきまして、ありがとうございます。,御同意頂いて、ありがとうございます。,同意してくれてありがとう。,あいづち,同意
貴殿がこちらの作品で特に意図なさったのは、どの様なところでしょうか？,あなたがこの作品で特に意図なさったのは、どんなところですか？,あたながこの作品で特に意図したのは、どの様なところですか？,あなたがこの作品で特に考えたのはどんなところ？,アイデア,工夫
奥様は優秀な方でいらっしゃいますが、御決断力が乏しいと存じます。,奥様はお知恵はあるのですが、決断力がないのです。,奥様は優秀な方ですが、決断力が乏しいです。,奥さんは賢いけど、自分で決める事ができないね。,アイデア,工夫
バラの花束に詩を添えて素晴らしい御考えですね。,バラの花束に詩を添えて よく思いつかれたものですね。,バラの花束に詩を添えてよく思いつきましたね。,バラの花束に詩を添えてよく思いついたね。,アイデア,工夫
グループ分けには、さぞ御苦心されたことと存じます。,グループ分けには、さぞ苦心なさったでしょうね。,グルーブ分けには、さぞ悩んだことでしょうね。,グループ分けには、結構悩んだよね。,アイデア,工夫
こちらの新製品、随分、工夫された事と存じます。,この新製品、ずいぶん、工夫なさいましたね。,この新製品、随分、工夫しましたね。,この新製品、すごく考えたね。,アイデア,工夫
曇らないフロントガラスを、御考案されたそうですね。,曇らないフロントガラスを、ご考案になったそうですね。,曇らないフロントガラスを、御考えになったそうですね。,曇らないフロントガラスを、考えたんだね。,アイデア,工夫
社長が、ナノ・ウォーターを御考案なさったのでしょうか？,社長が、ナノ・ウォータ—を考案なさったんですか？,社長が、ナノ・ウォーターを考案されたのですか？,社長が、ナノ・ウォーターを考えたの？,アイデア,工夫
宇宙戦争が舞台とは、何とも壮大な御構想でございますね。,宇宙戦争が舞台とは、何とも壮大なご構想ですね。,宇宙戦争が舞台とは、何とも壮大な構想ですね。,宇宙戦争が舞台とは、すごくスケールが大きいね。,アイデア,工夫
